#	الرمز	الملف	مسارُ المصدر	sha256 — البصمةُ الحاكمة	md5_legacy	الحجم (بايت)	آخرُ تعديل	الحالة	الصفةُ الدقيقة	الأداةُ التي تقرؤه	سببُ الإدراج أو الاستبعاد	الوجهةُ في الحزمة	الحكمُ والملاحظة
1	CMP-01	CMP-01 — مقارنة السايدبار بنظام الشاشات.xlsx	/mnt/user-data/outputs/CMP-01 — مقارنة السايدبار بنظام الشاشات.xlsx	aa8cf5fef3c241fb7cd8abd347f7902d7fd6885714f638e94f3c48bec756bb16	ef847f54	116769	2026-08-04 11:29	مرجعُ بيانات	ملفُّ تحليلٍ أو مصفوفة	لا أداة	مُدرَجٌ مرجعًا	INJAZ-MASTER-MAP	مُدرَجٌ مرجعًا
2	CMP-02	CMP-02 — مقارنة شجرتَي الأعطال.xlsx	/mnt/user-data/outputs/CMP-02 — مقارنة شجرتَي الأعطال.xlsx	02ee94e3cd854d6ca5bf0881a2113fa2cc6c0f49a0081aeec603cdbb9de0768b	e7fb9f2f	20570	2026-08-04 12:37	مرجعُ بيانات	ملفُّ تحليلٍ أو مصفوفة	لا أداة	مُدرَجٌ مرجعًا	INJAZ-MASTER-MAP	مُدرَجٌ مرجعًا
3	CMP-03	CMP-03 — مقارنة أعمدة الشاشات بالنظام الحي.xlsx	/mnt/user-data/outputs/CMP-03 — مقارنة أعمدة الشاشات بالنظام الحي.xlsx	17c443fc2fa21e0952890e1062c608fd1f19051c5854b84ab8a31436367c3d7a	6612feb4	183256	2026-08-04 14:29	ملفٌّ حيٌّ — يبقى مستقلًّا	مساحةُ قرارٍ وترحيل	محرّكُ قرارِ الأعمدة	مُدرَجٌ ولا يُدمج — أداةٌ آليةٌ تقرؤه	—	مُدرَجٌ ولا يُدمج — أداةٌ آليةٌ تقرؤه
4	D-01	D-01 — دستور منصة إنجاز.docx	/mnt/user-data/outputs/D-01 — دستور منصة إنجاز.docx	feff594eaa8679611cfd0e419553f9aacbf04097bcb278f6926e048e005879ce	26d88b9c	58489	2026-08-06 07:02	نافذةٌ — محرّكٌ عرضي	محرّكٌ يخدم كلَّ الإدارات	لا أداة	مُدرَجٌ — تُحيل إليه وثائقُ الإدارات	—	مُدرَجٌ — تُحيل إليه وثائقُ الإدارات
5	D-02	D-02 — المعمارية الشاملة للمنصة.docx	/mnt/user-data/outputs/D-02 — المعمارية الشاملة للمنصة.docx	6a916866fc85c583a5d25d1720ce0e6072268873e1d3d45c2b673d6c9b59d923	278eb9c3	50927	2026-08-07 05:32	نافذةٌ — محرّكٌ عرضي	محرّكٌ يخدم كلَّ الإدارات	لا أداة	مُدرَجٌ — تُحيل إليه وثائقُ الإدارات	—	مُدرَجٌ — تُحيل إليه وثائقُ الإدارات
6	DEC-SCR-01	DEC-SCR-01 — ملف القرارات العالقة على الشاشات والأعمدة.xlsx	/mnt/user-data/outputs/DEC-SCR-01 — ملف القرارات العالقة على الشاشات والأعمدة.xlsx	1fa84d67f941bc0deeb8dac6fed9724fa0295d9c837160a174512d1ea07eb436	adf3bcff	491232	2026-08-06 13:05	مرجعُ بيانات	ملفُّ تحليلٍ أو مصفوفة	لا أداة	مُدرَجٌ مرجعًا	INJAZ-MASTER-MAP	مُدرَجٌ مرجعًا
7	DIO-01	DIO-01 — محرّك التصدير والاستيراد والمشاركة.docx	/mnt/user-data/outputs/DIO-01 — محرّك التصدير والاستيراد والمشاركة.docx	a4b84bf98e4ea2d1ec3cd7cc270e85ae5fa4888fbea4bdb0568bbe490476087f	a084ecae	64372	2026-08-07 05:32	نافذةٌ — محرّكٌ عرضي	محرّكٌ يخدم كلَّ الإدارات	لا أداة	مُدرَجٌ — تُحيل إليه وثائقُ الإدارات	—	مُدرَجٌ — تُحيل إليه وثائقُ الإدارات
8	DIO-MAP-01	DIO-MAP-01 — مصفوفة قابلية التصدير والاستيراد والمشاركة للشاشات.xlsx	/mnt/user-data/outputs/DIO-MAP-01 — مصفوفة قابلية التصدير والاستيراد والمشاركة للشاشات.xlsx	ca41178308936cba91293977ace48b448d443cbdcbd26c02248d951dee492c56	1e80642e	178742	2026-08-06 07:04	مرجعُ بيانات	ملفُّ تحليلٍ أو مصفوفة	لا أداة	مُدرَجٌ مرجعًا	INJAZ-MASTER-MAP	مُدرَجٌ مرجعًا
9	DS-01	DS-01 — النظام التصميمي ومكتبة المكونات.docx	/mnt/user-data/outputs/DS-01 — النظام التصميمي ومكتبة المكونات.docx	ffa3518d00df0cd25c13bedc37070be9bd2c664272eca3364966e225e3a2fac5	028f98aa	70291	2026-08-06 15:50	نافذةٌ — محرّكٌ عرضي	محرّكٌ يخدم كلَّ الإدارات	لا أداة	مُدرَجٌ — تُحيل إليه وثائقُ الإدارات	—	مُدرَجٌ — تُحيل إليه وثائقُ الإدارات
10	DS-MAP-01	DS-MAP-01 — رموز التصميم والمكونات ومسار الهجرة.xlsx	/mnt/user-data/outputs/DS-MAP-01 — رموز التصميم والمكونات ومسار الهجرة.xlsx	1b60a8ec2e2757f014d7b384a79904e2c25d19f15af90874c6608200a0c2dda1	cb36a25a	63726	2026-08-06 15:50	مرجعُ بيانات	ملفُّ تحليلٍ أو مصفوفة	لا أداة	مُدرَجٌ مرجعًا	INJAZ-MASTER-MAP	مُدرَجٌ مرجعًا
