مكتب الرئيس التنفيذي والنواب	مركز العمل	المركز التنفيذي	مهامي	مهامي	my_tasks.php	لا	—	—	شاشةٌ مستقلة	قالبُ السجلِّ الجدوليّ	INJAZ DataGrid · الشريطُ الموحَّد · المرشِّحات · المناظرُ المحفوظة · حالاتُ الشاشة	سجلٌّ أو إعداد	— عرض	—	—	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
مكتب الرئيس التنفيذي والنواب	مركز العمل	المركز التنفيذي	إنجازي	إنجازي	my_achievement.php	لا	—	—	منظر	قالبُ السجلِّ الجدوليّ	INJAZ DataGrid · الشريطُ الموحَّد · المرشِّحات · المناظرُ المحفوظة · حالاتُ الشاشة	قارئة	— عرض	—	—	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
مكتب الرئيس التنفيذي والنواب	مركز العمل	المركز التنفيذي	بوابتي	بوابتي	my_portal.php	لا	—	—	منظر	قالبُ السجلِّ الجدوليّ	INJAZ DataGrid · الشريطُ الموحَّد · المرشِّحات · المناظرُ المحفوظة · حالاتُ الشاشة	قارئة	— عرض	—	—	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
مكتب الرئيس التنفيذي والنواب	مركز العمل	المركز التنفيذي	طلباتي	طلباتي	my_requests.php	لا	—	—	فعل	قالبُ الفعلِ والاعتماد	مكوّنُ الانتقال · حوارُ التأكيد · بطاقةُ اعتماد	مستندٌ يُعتمد	— عرض	—	—	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
مكتب الرئيس التنفيذي والنواب	مركز العمل	المركز التنفيذي	المراسلات	المراسلات	messages.php	لا	—	—	شاشةٌ مستقلة	قالبُ السجلِّ الجدوليّ	INJAZ DataGrid · الشريطُ الموحَّد · المرشِّحات · المناظرُ المحفوظة · حالاتُ الشاشة	سجلٌّ أو إعداد	— عرض	—	—	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
مكتب الرئيس التنفيذي والنواب	مركز العمل	المركز التنفيذي	لوحة الرئيس التنفيذي	لوحة الرئيس التنفيذي	ceo_board.php	لا	—	—	تقرير	قالبُ التقرير	الرسوم · المرشِّحات · التصدير · حالةُ الفراغ	قارئة	— عرض	—	—	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
مكتب الرئيس التنفيذي والنواب	مركز العمل	الاعتمادات والمسائل المرفوعة	اعتمادات الرئيس التنفيذي	اعتمادات الرئيس التنفيذي	ceo_approvals.php	لا	—	—	فعل	قالبُ الفعلِ والاعتماد	مكوّنُ الانتقال · حوارُ التأكيد · بطاقةُ اعتماد	مستندٌ يُعتمد	اعتمادٌ أعلى	—	—	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
مكتب الرئيس التنفيذي والنواب	مركز العمل	الاعتمادات والمسائل المرفوعة	التفويض بالتوقيع	التفويض بالتوقيع	delegations.php	لا	—	—	شاشةٌ مستقلة	قالبُ المستندِ ودورتِه	شبكةُ النموذج · شريطُ الحفظِ اللاصق · مكوّنُ الانتقال · سجلُّ النشاط	مستندٌ يُعتمد	اعتمادٌ أعلى	—	—	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
مكتب الرئيس التنفيذي والنواب	مركز العمل	الاعتمادات والمسائل المرفوعة	تقارير المراجعة الداخلية — الرئيس	تقارير المراجعة الداخلية — الرئيس	ceo_audit_inbox.php	لا	—	—	شاشةٌ مستقلة	قالبُ المستندِ ودورتِه	شبكةُ النموذج · شريطُ الحفظِ اللاصق · مكوّنُ الانتقال · سجلُّ النشاط	مستندٌ يُعتمد	◆ انتقالُ حالة	مستندٌ يُعتمد بلا مستندٍ رسميٍّ مسمًّى	عالٍ	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
مكتب الرئيس التنفيذي والنواب	مركز العمل	الاعتمادات والمسائل المرفوعة	الاعتمادات المالية العليا — الرئيس	الاعتمادات المالية العليا — الرئيس	ceo_fin_approvals.php	لا	—	—	فعل	قالبُ الفعلِ والاعتماد	مكوّنُ الانتقال · حوارُ التأكيد · بطاقةُ اعتماد	مستندٌ يُعتمد	◆ انتقالُ حالة	مستندٌ يُعتمد بلا مستندٍ رسميٍّ مسمًّى	عالٍ	تبقى بقالبِها	لم يبدأ	AC-U1 قشرة · AC-U2 مكوّن · AC-U3 حالات
